Title,Price,Sold,Reviews,Condition,Brand,Area Covered,Power Source,Control Style,Mounting Location,Operating Sound Rating,Number of Heat Settings,Colour,Type,Item Dimensions,Material,Item Length,Item Width,Item Height,Colormap,Product Type,MPN,Model,Heating System,Voltage,Features,Power,Energy Efficiency Rating,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),BTU Heating Rating,Tank Capacity,Energy Efficiency Ratio (EER),Item Depth,EC Range,EAN,Country/Region of Manufacture,Color,UPC,Year Manufactured,Air Direction,Smart Home Protocol,Power (W),Unit Type,Design,Voltage Supply,Timer Control,Manufacturer Part Number,Manufacturer,Item Weight,Prop65_fl,Prop65Warning,Modification Description,Battery Included,Bundle Description,Custom Bundle,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Cable Length,Height,Heating Wattage,PackQty,Current Rating,ISBN,Publisher,Refrigerant,Tonnage,Manufacturer Warranty,Smart Home Compatibility,Size,Product Height (in),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Room Size,Heater Type,Certifications and Listings,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Product Width (in),Power/Fuel Type,Portable Heater Features,Wattage (watts),Amperage (amps),Heating Technology Type,Voltage (volts),Product Weight (lb),Heating Product Type,GTIN,Energy Star,Item model number,Batteries Required?,Assembly Required,Country of Origin,Heating Method,Number of Pieces,Package Dimensions,Included Components,Compatible Brand,Age Group,Brand Color,Chemical,Cooling BTU/Hr,Fuel Consumption,Fuel Rate (gal./hr.),Fuel Tank Capacity (gal.),Gender,Heat Rating (Btu/Hr.),Ignition Type,Style,ItemWidth,ItemLength,ItemHeight,Model Number,Package,Piece Count,Installation,Bundle Listing,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,manufacturer_part_number,Heat Output,JAN,Tracking,ShippingService,Heating Technology,Manufacturer Color,Heater Style,Width,Model No.,Pattern Name,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,Room,ProductTypeName,PartNumber,ProductGroup,Binding,Label,NumberOfItems,Studio,MaterialType,PackageQuantity,Warranty,item_width,item_length,Heat rating (BTU/hour),Pack Size,Brand compatible,Cod. ETCO,Mark,Supply Voltage,Power Rating,Peak Temperature,Product Name,Thickness,Compressor Type,Housing Material,Fuel Type,Cord Length (ft),Assembled Height (in),Item Location,Outdoor Living Product Type,Color/Finish,Assembled Depth (in),Total BTU,Shipping,Quantity,Heating Area (sq ft),Patio Heater Type,Assembled Width (in),Tax,Item Weight Major,state limitations,Area Heated (Sq. Ft.),Product Weight (lb.),Heat Output (BTU/hour),Package Condition,Package Contents,Cosmetic Condition,Functionality Check I,Functionality Check II,package_length,Country Of Origin,Platform,Languages,IsMemorabilia,IsAutographed,Department,SKU,Temperature control,Watts,Plug Type,TAX,Customer Service,Returns,Handling Time:,Location,Questions,Thermostat,Safety tip-over switch,Fuel type,Heat type,Oxygen depletion sensor (ODS),High limit safety shut-off (HLS):,Indoor safe,Ignition,Hose & regulator included,BTU per hour:,Heating area (sq. ft.),Tank capacity (min.),Runtime,Maximum elevation,Connectivity,Dosage,Product,Format,Compatible Model,Author,Book Tittle,Language,UPC/GTIN Code,Mor Electric Heating SKU,Satisfaction,Product Dimensions,Heating settings,Wattage,Restricted States,ItemPackageQuantity,Power Line,Item,Return,OPEN BOX,Customer Return:,State limitations,Product name,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,Shipping Weight,Unit Quantity,Heating BTU,Manufacturer Colour,Finish,Room Coverage Area,Rated Voltage,Power line,Main material:,Product Meas,Heating power,Use,Net Weight/Gross Weight,BoxSize,Package Include,Accessory Type,Item Package,assembled_product_dimensions_l_x_w_x_h,power_type,recommended_location,assembled_product_weight,manufacturer
Vintage No. 1204 B Temco. Gas Heater,,16 watchers, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Temco,,Gas,,,,,,Ceramic,,,,,,,,Foesnot Sppl,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone Electric Patio Heater Remote Control Wall Mountable Water Resistant,109.66,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Comfort Zone,101-150 sq ft,Electric,,Wall,,,,Patio Heater,,Metal,,26.5 in,,,,CZPH20RGR-EU,Comfort Zone CZPH20RGR-EU,,120 V,Water Resistant,1001-1500 W,,,,,,,,,,0075877523273,,Gray,0075877523273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorell 2-setting Portable Quartz Heater - Quartz - 2 X Heat Settings - Portable,106.62,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lorell,100 sq ft or Less,Electric,"Dial, Touch",Baseboard,,2,,Portable Heater,,"Aluminum, Brass",,,,,,llr-99844,,Convection,12 V,,,,Coil,Brass,Less Than 80%,Less Than 2000 BTU,,,,,0035255998444,,White,0035255998444,2000,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,100 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000 BTU Electric Infrared Heater Wall Mounted Workshop Garage Warmer Heating,108.66, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lifeplus,,Electric,Analog/Mechanical,"Roof, Wall",,2,,Portable Heater,,Steel,,,,,,,,Infrared,120 V,Auto Shut-off,1001-1500 W,,,,,5000-5999 BTU,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Mr Heater Buddy Portable Propane Heater 9,000 BTU Low-oxygen safety shut-off",107.61,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,0705353690730,,Red,705353690730,,,,,,,,,mh9bx,ENERCO GROUP INC,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.40 x 8.30 x 15.00 Inches,Gas,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 1500W Designer Series Ceramic Space Heater with Remote, 6435, Beige",106.99,30-day returns,"[""This is the 3rd purchase of the same heater.  1st for one of my sons, 2nd for my boss and 3rd to replace a noisy old heater at my desk.  Not only does it produce heat well but it is also is aesthetically pleasing in an office setting.  Those points combined with many levels of heat to chose from and a remote control feature to boot...perfection!!  Three purchases and each for less than $60...it's a winner!!"", ""The reason I wanted this heater was I needed supplemental heat to my daughters room which is the furthest from the central heating system and surrounded by three ouside walls. Have been using a small oscillating ceramic heater for a couple years, but not thermostat controlled. Love the Lasko, cause it heats room evenly and quickly! Love that it does shut down when it get's up to the right temp. I would reccomend this heater to anyone. You can not however use thermostat control on LO setting. Only on High. Also like the overall appearance of it. Nice product!"", 'It would be great if it would operate in Automatic via the Thermostat on Low. It will not though as it will default to Max and if you set a temperature it reverts back to High mode which blows my Breaker! A nice design with a great oscillation feature. If you can run it on High which draws 12-14 Amps then it will work well for you! Why they disable temperature controlled operation in Low mode is baffling to me! ', 'This heater is a pretty good source of additional warmth where you need it. You may get tired of people asking you what it is though... It will not heat an entire home, but in my 22x28 living room, it does a pretty good job warming things up. Quiet and pretty. The remote works great, (even though it is almost as weird of a shape as the heater).', ""The heater is very dependable , I've had one for 1 year now. I have purchased two additional for other rooms. These units do the job of heating rooms well. They're very fashionable convenient."", 'first off gotta say this heater warms a medium size room very fast..and very wellalso easy to operate. only problem is the heater is very noise. looked over the reviewspeople said very quit very little sound NOT true loud fan and when oscillating is onmakes a verroom verroom sound [ best way to describe it]  gonna need to get out theear plugs gave it four stars for its heating', ""This little heater is great for taking the chill out of the air. My cottage is under 1000 ft, and the kitchen and living room are open to each other and I typically keep the temp at 66-68 24x7. Because of that vast space I originally had my doubts but now that I have used it for a week, it does a great job. It definately raises the temp a few degress which makes a big difference for me. (Don't rely on this heater being your main source of heat but rather as a supplement)."", ""expertbenefitsI haven't had it too long but it fits my purpose. I have central hearing but being an older place that I just got and having colder weather than usual, it just wasn't enough.  I have used it mostly for showers inn one bathroom and have an e-heater in the other one so I am all set. I like that this is portable so that I can move it around. It has a good range of settings, changes quickly. I actually read about it in Consumer Reports and looked on eBay so I got it.  The stand keeps it stable. It kind of cute too!"", 'I like the design of the heater very much and it certainly has enough output to heat what I intended it for.  I also like the features that it offers.  The only thing that I wish it did and it does not do is turn back on when the thermostat goes below what it is set at as well as turn off when it reaches the temperature.  All in all though, it is a good value and I have been pleased with it.', ""Granted it's not more than 1000 square feet, but this pretty little heater sits in the center of my house and keeps the whole house comfortable.  It has a thermostat,  (only 5 degree increments) but still will save me money by shutting off when the room is warm enough.  It has a convenient remote control.  First time I used it I smelled some electrical burning sent.  It only lasted a little while.  Seems fine now.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,Electric,"Switch, Remote Control, Digital",Desk/Tabletop,Standard,2,,Does not apply,,,,"8.25in., 8.25 in",,,,6435,,Convection,120 V,Timer,,,Coil,Brass,Less Than 80%,Less Than 2000 BTU,1 gal or Less (5 L),3 or Less,,,0046013762207,,Beige,0046013762207,2019,1-Way,,,,,,,,Lasko Products,,,,,,,,,,,,,,,,,300,,,,,Does not apply,,HC-12a,,,,8.25 x 3.0 x 16.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25 x 3.00 x 16.05 Inches,Electric,Indoor,3 lbs,6435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cadet Electric Baseboard Heater 96 in. 2,000-Watt 240/208-Volt in White Finish",105.24,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cadet,,Electric,,Wall,,1,,Baseboard Heater,,Steel,,,,,,09958,,,208/240 V,,,,,,,,,,,,0027418099587,,White,0027418099587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage GE General Electric Portable Coil Fan Heater Model F41H4 Mid Century MCM,105.0,10 watchers, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",GE,,Electric,,,,,,Radiant Heater,,,,,,,,,F41H4,,,Portable,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WAPEMORK Space Heater for Indoor Use - Portable Personal Electric Heaters, Small",107.65,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Corded Electric,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,0726084419759,,Black,726084419759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiant, Convection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlusMinusZero Infrared Electric Heater +/-0 climate control Brown XHS-Y010-T,108.94,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",±0,,Electric,,,,,,,,,,,,,,XHS-Y010-T,,,,,,,,,,,,,,,4582241453112,Japan,,4582241453112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4582241453112,yes,Japan Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Owned Mr Heater Buddy Flex Indoor Safe Portable Radiant Heater MISSING HOSE,109.95,30-day returns, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Mr. Heater,275 sq. Ft.,"Electric, Propane, Natural Gas","Dial, Rotary Knob, Switch, Push Button, App Control","Floor, Wall, Desk/Tabletop",Standard,3,,Portable Heater,,"Aluminum, Steel",15.25 inches,17 in,,,,F600100,MH18B,Radiant,Not Electric,Auto Shut-off,,,Coil,,Less Than 80%,8000-110000 BTU,1 pound,,16 in,,,Unknown,Red,0089301005792,2020,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,16.50 inches,,,,,,,,,ADT Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radiant,Red,Compact,10.37 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmazeHeater SOLO 400Watt Electric Convection Room Heater  AH400USS,106.38,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Amaze Heater,,,,,,,,Space Heaters,,Durable,,,,,,AH400USS,,,,,,,,,,,,,,,,,White,854208008098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5 × 23.3 × 0.5 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH400USS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlusMinusZero Infrared Electric Heater Home Appliance Warm Hot Stove Beige Japan,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",±0,,Electric,Dial,,,,,Electric Heater,,Steel,,,,,,Does not apply,,Infrared,100 V,,,,,,,,,,,,,,Beige,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PELONIS PHO15A2AGB, Basic Electric Oil Filled Radiator,Black Space Heater, 26.10",106.57,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Corded Electric,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,0711181871845,,Black,711181871845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heater,14.17 x 11.02 x 26.06 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star patio Electrical Patio Heater ,110.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Unbranded,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd09250 Ceramic Adjustable Thermostat Tabletop Or Underdesk Heater 9 Inches High,106.34,30-day returns,"[""I didn't expect this little guy to heat my entire office but it does.  Not particularly pleased that the instructions tell you to unplug it when not in use.  Not a fan of burning my house down, but it is a pain trying to remember to unplug it every time."", ""Small but powerful. Use it to heat my futon on rainy days when I can't hang it out in the sun."", 'great for small areas. the fan is a bit loud, especially for light sleepers', 'Working good nice for kitchen keep warm in winter new item ', 'Compact and efficient', 'I have not Received it yet...!!!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,,Manual,,,,,Ceramic,,,,,,,,CD09250,CD09250,,,"Portable, Thermostat, Indoor",1500W,,,,,,,,,,0046013776761,,Black,0046013776761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0046013776761,,,,,,9 Inches High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast free shipping,30 Days Money Back,USA,Taxes&Duties - buyer's responsibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaze-Heater SOLO 400-Watt Electric Convection Room Heater,109.08,9 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Amaze Heater,,,,,,,,Room Heater,,,,,,,,AH400USS,,,,,,,,,,,,,,,,,,854208008098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH400USS,,,,,,,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heat Storm Phoenix Heater HS-1500-PHX, Wall-Mounted Infrared Heater, 1500 Watts",107.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heat Storm,251-300 sq ft,Electric,"App Control, Digital, Remote Control","Floor, Wall",41-50 dB,2,,Unit Heater,,,19 in,4 in,,,,HS-1500-PHX,HS-1500-PHX,Infrared,110 V,"Built-In Thermostat, Portable, Auto Shut-off, Timer",1500W,,,Infrared Quartz Bulbs,,5000-5999 BTU,,,,,0854271005444,China,White,0854271005444,,,Wi-Fi,,,,,,,,,,,,,,No,,,,,,,,,,3 ft,,,,,,,,,None,Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
