Title,Price,Sold,Reviews,Condition,Brand,Type,Control Style,Power Source,Heating System,Color,Voltage,Model,Number of Heat Settings,Features,Mounting Location,Power,UPC,Type 1,Material,MPN,EAN,Energy Efficiency Rating,Tank Capacity,Item Length,Area Covered,BTU Heating Rating,Heating Element Material,EC Range,Annual Fuel Utilization Efficiency (AFUE),Year Manufactured,Item Depth,Heating Element Format,Colour,Energy Efficiency Ratio (EER),Cable Length,Item Width,Operating Sound Rating,Custom Bundle,Energy Rating,Air Direction,Manufacturer Warranty,Item model number,Product Dimensions,Item Weight,Heating Method,Item Dimensions LxWxH,ISBN,Power (W),Unit Quantity,Country/Region of Manufacture,Design,Voltage Supply,Manufacturer Part Number,Shape,Number of Pieces,Towel Rack Length,Modified Item,Mounting,Item Height,Style,Cool Fan Setting,Energy Star,Smart Home Protocol,Location,Timer Control,Smart Home Compatibility,Tonnage,Refrigerant,Batteries Required?,Is Discontinued By Manufacturer,Manufacturer,Package Contents,Prop65_fl,Prop65Warning,Gear,Heating element,Heating Wattage,Rated power,Rated voltage,Weight,Length,Height,Current Rating,Size,Hight,Model Number,Package,Piece Count,Product Type,Country Of Origin,Function3,Function4,Function5,Function6,Function7,Function8,Origin,Power Mode,Volume,Certification,Colors,Function,Function1,Function2,ItemWidth,ItemLength,ItemHeight,Warranty Description,Assembly Required,Material Care Instructions,Included Components,Video of unit turned on,Heater Style,BU Heating Rating,Annual Fuel Utilization Efficiency/ AFUE,Heater Model Number,Heating Element,Product Weight,Room Heater,Application,Area Heated,Electric Heater,Electric Heater Type,Heater for Home,Suitable for,Wholesale,Use,Thermostat,Item name,Number of Speed Settings,Voltage (V),Ceramic Heating Element,Dropshipping,Size with box,Heater,Warmer Blower,Recommended Environment,Power Type,Heat Output,Battery Included,Bundle Description,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Width,Binding,Studio,Scent,Publisher,ProductTypeName,ProductGroup,PackageQuantity,MaterialType,Label,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word 2,Key Word 3,Key Word 4,Key Word,ProductType,Application:,Power supply:,Heater Plug Type:,Heater Type:,Item Type,Installation,House heaters,Home heater,NumberOfItems,Assembled Product Dimensions (L x W x H),Recommended Location,Assembled Product Weight,PackQty,Dimension(ID*H),Power Tolerance,Product Name,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Product Weight (lb.),Power/Fuel Type,Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Cord Length (in.),Heating Technology Type,Amperage (amps),Room Size,Portable Heater Features,Certifications and Listings,Product Height (in.),Voltage (volts),Package Dimensions,Dimension,Timer,Temperature setting,Idle Speed of Fan,New Title,Mounting & Moving,Compressor Type,Manufacturer Color,Country of Origin,Warranty,PRICE,USE,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Add To Watchlist,We Dont Accept PO BOX,Product Height (in),Baseboard Heating Type,Product Depth (in),Heat rating (BTU/hour),Color Family,Hydronic,Product Length (in),Vented,Pack Size,Product Width (in),Product Weight (lb),Heating Product Type,Price,USA Seller,Product use,Customer service,Limited time offer,Shipping Exclusions
Car Heater Vehicle Heating Cooling Fan Defrosting & Defogging Small Electrical,,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Heater,,"Electric, Fan",,,,2584378723,,,,,,,ABS,2584378749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8*5.9 inch,,,,,,,Portable defrosting and defogging,Winter Car Heater,Electric Heater Auto Fan Heating,Air Purification Demister,Car Window Mist Removal Defroster,Universal 12V heater,CN(Origin),12V DC,<300ML,CE,Black,Car Heater,12V car heater,Vehicle Heating Cooling Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quartz radiant heater 1000w 240v•30 bulb,40.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",quartz,,,,Radiant,,240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Small Light Quiet Portable 2Kw 2000W Electric Upright Standing Fan Heater,44.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Fan Heater,Analog/Mechanical,Electric,Heating wire,White,220-240V,,1,"Auto Shut-off, 3 heat settings, 3 Bar, Sturdy Base,  Overhe","Desk/Tabletop, Floor",2000W,Does not apply,,Plastic,,,,,555mm,10 square meters or less,2000-2999 BTU,Stainless Steel,,Less Than 80%,2000,,Coil,,,,230mm,Standard,,,1-Way,,,,,,,,,,China,,,,,,,,,,,,,"3 heat settings, 3 Bar, Sturdy Base,  Overhe",,3 hrs,"3 heat settings, 3 Bar, Sturdy Base,  Overhe",,"3 heat settings, 3 Bar, Sturdy Base,  Overhe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andily Space Heater Electric Heater for Home and Office Ceramic Small Heater wit,43.69, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,,Corded Electric,,Black,,,,,,,7445042923987,,,,07445042923987,,,,,,,,,,,,,,,,,,,,,,,,"Forced Air, Convection",6.2 x 4.74 x 8.3 inches,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dia 170mm 200W@12V Round Circular Silicon Heater Kossel Delta 3D Printer HeatBed,32.64,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",KEENOVO,,,,,,,,,,,,,,,K170D0200012NP,603629513311,,,,,,,,,,,,,,,,,,,,,,,,,,,200W 12V,,,Custom Design Welcome,Advise if you need 110V or 220V. 12V by default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeWarm We Warm Quartz Infrared Space Heater HT1013US LARGE room size 1500 Watts,41.97, , ,,Intertek,Portable Heater,"Push Button, Remote Control",Electric,Forced Air/Fan,Black,120 V,Air King AK55L,5 or More,"Auto Shut-off, Oscillation, Timer",Floor,1001-1500 W,6971358490215,,Steel,,,,11-20 gal (39-76 L),26 in,151-200 sq ft,3000-3999 BTU,Steel,A+++ - E,80-85%,Unknown,6 in,Coil,,5.1-6,,18 in,None,No,,1-Way,,,,,,,,,,Unknown,,,,,,,,,,,,A+++,Infrared,,12 hrs,ADT Pulse,,R-123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo 1500W Space Heater, 70° Oscillating Electric Heater with Digital Thermostat",44.98,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dreo,,Digital,Electric,,,,,,Oscillation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000W Ripple Heater Housing Constant Temperature PTC Ripple Heating Plate,44.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",fdit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QMARK SMSB SURFACE MOUNTING SLEEVE FOR WALL HEATERS, BRONZE",44.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",QMARK,,,,,,,,,,,,Does not apply,,,SMSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 230v 250w Ceramic Heater Plate Water Universal Square Infrared Electric Board,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Portable Heater,None,Electric,Boiler,Multicolor,230v,5624692681,1,"Auto Shut-off, Timer","Desk/Tabletop, Wall",250w,343598768144,,Ceramic,5624692705,,,1 gal or Less (5 L),See Picture,None,None,Stainless Steel,A+++ - D,None,2021,See Picture,Strip,,None,See Picture,See Picture,None,No,,None,Other: See Item Description,,,,,,,,,China,,,,,,,,,,,,A+++,"Clear Connect, HomePlug, Powerline/UPB (Universal Powerline Bus)",,15 min,None,20 tons or Greater,R-11,,,,,,,,,,,,,,,Less Than 5 A,60mm*60mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vornado MVH Vortex Heater, Heats Whole Room, Black",44.69, ,"['I live in Nebraska and put the Vornado in a 25’x12’ ventless corner basement room with 4 windows. It works adequately for that room. It takes 10-15 minutes on the high setting to heat entire room so I can’t imagine ever using the low setting there. Maybe in a smaller room or camper or a warmer climate it would be needed. The Vornado is so quiet and the heating element hardly glows, that when first turned on I wasn’t sure it was working. It has a safety switch on the bottom and needs to be placed on a hard flat surface. It’s very compact and the plastic exterior makes it lightweight. That exterior though doesn’t seem real sturdy so I’ve got it up off the floor to avoid getting kicked or trod on. For the price and purpose I’m satisfied.', ""After searching for a year for a replacement for our beloved Braun heater we have finally found one that works well. The Vornado is not the design leader that the old Braun was but it does come close on one of the most important features for us. We use this heater in a quiet office environment, therefore the heater has to be quiet. We tried a popular Fasco, a Caframo that is styled after the Braun, and other brands. All were too noisy. The Vornado is not whisper silent like the Braun, but it come close. The noise level is about like a modern computer.Other features we like on the Vornado are the 3 heat settings, a fairly accurate thermostat and a decent length cord. The design is upright where the Braun was low. The vertical design with the large blade fan helps the Vornado more more air which helps warm up the room more quickly. It has a discrete small red led light that lets you know it's on. The heater is made in China.The downsides of this heater are minor. The heat range selector switch is not intuitive and dimly marked. You need to shine a light on it and maybe consult the manual to remember what the cryptic I, II, III markings mean. (I=low, II=med, III=high). And the case is shiny plastic which is a static electricity magnet. It attracts dust and animal hair easily. These are small issues. We normally leave the unit on one heat setting and it is under the desk, so pretty much out of sight. The black case helps it hide. Overall the heater looks to be well made and it's doing its job well. The price is a little high for a simple heater, but we are happy with it."", ""This is the third one of these I have bought. While it has a maximum of 1500 watts, these heat a room the most evenly of anything you can buy. It is quiet and you won't get burned like other heaters. "", ""This is my second Vornado fan I've purchased. My first one is still working perfectly but I never want to be without one and may use this second one when I travel.  I live in a rental suite that is chilly in Spring and Fall. Despite how benign this fan looks it produces a significant amount of heat.  I only start the day running this heater on the 1000 Watt (medium) setting and then turn down to low for the remainder of the day. It heats my open floor plan living room and dining room exceptionally well without driving up the electrical bill. Cheaper than running the furnace or my natural gas fireplace (altho come winter we use that in conjunction with the heater fan).  Bear in mind this is the most reliable model. Other models of heater fans by Vornado do not have the longevity of this one yet still cost as much or more. Read the reviews and choose this model for great value."", ""This little room heater is outstanding. I bought it for my daughter's bedroom is she's on the second floor and as we heat with wood sometimes your room cools down below normal during the winter. This little heater keeps her room nice and toasty I would recommend it"", 'Heats the bedroom up quickly. Like the thermostat settings to keep room at even temp.', 'Compact size  heats a room in no time at all   I love it', 'Compact size', 'Quiet efficient small size unit=Love it', 'Vornado heaters are the only ones that I use, as they are dependable, quiet, and safe!  This one is the quietest one I have ever had and, like all Vornado heaters, warms my bedroom in about 2 minutes.  This is one great heater!']",,Vornado,Space Heater,"Touch, Dial",Electric,Forced Air/Fan,Black,,MVH,3,,Desk/Tabletop,,0043765009284,,,EH1009106,0043765009284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MVH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,9.2,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage 1950's Art Deco Arvin Electric Portable Space Heater Turquoise Blue,,30-day returns, ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Arvin,Portable Heater,Dial,Electric,,Blue,120 V,,Variable,,Floor,,,,Metal,,,,,11.5”,,,Steel,,,1950,5”,Coil,,,,11.5”,,No,,1-Way,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable heater 110v, , , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Unbranded,Portable Heater,,,,,110 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater, Portable Electric Heaters for Indoor Use, 1500W Oscillation Small ",42.08, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,,AC,,Black,,,,,,,711181391879,,,,0711181391879,,,,,,,,,,,,,,,,,,,,,,,,Forced Air,5.7 x 5.7 x 8 inches,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO SHS80350 Strip Heater,Silicone Rubber,120V",42.06, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",TEMPCO,Flexible Strip Heaters,,,,,120,SHS80350,,,,,,,,SHS80350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Office Electric Shake-head Heater PTC Ceramic Space Heating machine / NEW,44.33,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded/Generic,,,,,,,,,,,,Does not apply,,,NDi3816633,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,NDi3816633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air King AK917 Bulb Heater with Exhaust Fan, Single",43.99,30-day returns, ,,Air King,,,Electric,,"Red, White",120 V,Air King AK917,1,,,,0083162270016,,Steel,AK917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portable Electric Space Heater with Thermostat, 1500W/750W Safe and Quiet Cerami",41.89,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,,AC,,Silver,,,,,,,313112494460,,,,0313112494460,,,,,,,,,,,,,,,,,,,,,SH-02,7.9 x 6.2 x 10.2 inches,2.99 pounds,Forced Air,7.9 x 6.2 x 10.2 inches,Does not apply,,,,,,,,1,,,,,,,,,,,,,,No,,HUSSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telephone and Email customer service on weekdays.All products pur,No,Hand Wash,Space heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE WESTINGHOUSE air space heater metal WWFH6800,41.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",White Westinghouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220V 500W Electric Heater Fan Warmer Air Heater Winter Home Room Office 2 Gears,42.08,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,,,,,220 V,,,,,,Does not apply,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 gears,quartz tube heating,500W,500W,220V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot of 2 Vintage Radiant Ceramic Heater Grate Inserts Bricks - Birmingham,42.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Unbranded,Ceramic Grate Insert,,,Radiant,Beige,,,,,,,Does not apply,,Ceramic,,,,,"8""",,,,,,,,,,,,"2 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marley Qmark CWHSM Surface Mounting Frame For CWH1000 Series Wall Heaters,40.0, , ,,QMark,,,,,,,,,,Wall,,685360139470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
