Title,Price,Sold,Reviews,Condition,Style,UPC,Power Source,Color,MPN,Item Length,Smart Home Compatibility,Heating Element Format,Brand,Air Direction,Heating Element Material,Type,Control Style,Heating System,Voltage,Model,Mounting Location,Item Width,Power,Colour,Material,Features,Number of Heat Settings,Smart Home Protocol,Country/Region of Manufacture,Refrigerant,Cable Length,Year Manufactured,Location,Size,Custom Bundle,Unit Quantity,Energy Efficiency Ratio (EER),Manufacturer Warranty,Modified Item,EAN,Item Depth,Tank Capacity,Tonnage,Area Covered,Manufacturer Color,Height,Heating Wattage,Heater Style,Heating Technology,Recommended Environment,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,Package Contents,Normal temperature resistance,Item Height,Product Lot Quantity,Room Coverage Area,Width,BTU Heating Rating,PackQty,Manufacturer Part Number,Current Rating,Type  1,Energy Star,Timer Control,EC Range,Overall Length,Overall Length (In.),Terminals,Sheath Material,NumberOfItems,Restricted States,Weight,Slotted Hole Width,Mounting Dimension,Application,Watts,Max. Sheath Temp.,Screw Size,Length,Mounting Type,Watt Density,Phase,Slotted Hole Length,Manufacturer,New Title,Item Weight,Prop65_fl,Prop65Warning,Power Type,ISBN,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Item model number,Warranty Description,Product Dimensions,Country of Origin,Batteries Required?,Heating Method,Item Dimensions LxWxH,Import Designation,Is Discontinued By Manufacturer,Included Components,Room Size,Indoor/Outdoor,Portable Heater Features,Heater Type,Voltage (volts),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Wattage (watts),Color Family,Power/Fuel Type,Amperage (amps),Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Certifications and Listings,Product Weight (lb),Assembly Required,Material Care Instructions,Number of Pieces,Warranty - Parts,Warranty - Labor,Noise Level,Model Number,Category,product_height_in,area_heated_sq_ft,product_depth_in,heater_controls,assembled_width_in,assembled_depth_in,room_size,heater_type,assembled_height_in,certifications_and_listings,color_family,portable_heater_safety_features,cord_length_in,indoor_outdoor,number_of_heat_settings,product_width_in,power_fuel_type,portable_heater_features,wattage_watts,amperage_amps,voltage_volts,product_weight_lb,ProductGroup,ProductTypeName,Use,Gift,Offer,Return,Quality,SHIPPING,Ships from,Customer Service,Main Colour,Hight,Power (W),Compressor Type,Number of Cool Speeds,Specification met,Bulb Type,Heating Technology Type,Mount Location,Depth,Heating Product Type,Area Heated (Sq. Ft.),Package Dimensions,Heat Output,ItemWidth,ItemLength,ItemHeight,ASIN,item_width,item_length,Bundle Description,Battery Included,Battery Size,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Finish,Actual Color,Feature,Model No.,Product,SKU,Country of Manufacturer,package_length,Batteries Required,Item Diameter,Finish Types,Made For,Tank Sizes,manufacturer_part_number
Lifesmart HT1201 Electric Infrared Quartz Heater and Humidifier Combo w/ Remote,64.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,817223017575,Electric,Black,HT1201,8.31 in,,Infrared,LifeSmart,,Quartz,Tower Heater,"Remote Control, Digital",Infrared,,HT1201,Floor,11.34 in,1001-1500 W,,,"Oscillation, Auto Shut-off",3,,Unknown,,,,,,,,,,,,,,,,Black,20.94 in,750/1500,Tower,Infrared,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone 1500 Watt Indoor Outdoor Wall-Mounted INFRARED Patio Heater CZPH10,64.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,075877201911,AC,Black,CZPH10,25.590,,,comfort zone,,,,,,,CZPH10,Wall,5.710,,,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metoro kotatsu replacement heater quartz pipe heater MSU-501H (K),62.0,Free shipping and returns,"['Great heating performance even for a large table. Easy to install and use.', 'If you want to make your own Kotatsu I defenitly recommend getting this. Make sure to read the instructions and take note of all of the warnings, though they are all pretty common sense. Would recommend :)￼', 'I have been using this Metro replacement heater for more than 10 years, and it has been trouble free, and electrioc bill is so low.   I deeply appreciated.', 'The kotatsu heater was exactly what I needed. It shipped super fast and works perfectly!', 'It works.', 'Es un muy buen producto, funciona a la perfección y de muy buena calidad']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,4948309101430,"Electric, Fan",Black,,,,Coil,Metro,,,,"Switch, Dial",Panel,100 V,,Desk/Tabletop,,501-600 W,,Steel,,Variable,,,,118.11in (300cm),Unknown,,,,,,,,,,,,100 sq ft or Less,,,,,,,Less Than 80%,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200W Winter Radiator Mini Portable Heating Fast Heater Heating Electric Fan,62.69,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,Electric,Black,Does Not Apply,,Thermostat,,Unbranded,,Ceramic,"Portable Heater, 	Fan Heater",Push Button,,220V/110V,,"Cabinet, Desk/Tabletop, Floor",,1200W,,Flame retardant ABS+PTC ceramics enthusiast,Thermostat,2,Thermostat,China,Thermostat,1.2m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110V-220V Heating pad Heater Bed Thermal Controller Replacement Silicone,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,As Pictures Show,Does Not Apply,,,,unbranded,,,,,,,Heating Pad,,,1400W,,Silicone,,,,,,,,,400 * 400 * 1.5mm,,,,,,,,,,,,,,,,,,,Heating Pad,75.63 (Ω),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadler Form Anna Fan Heater - A-020 - White - (NEW/OPEN BOX) ,,60-day returns, ,,,802322002331,"Electric, Fan",White,A020,,,,Stadler Form,,,Tower Heater,Switch,Convection,120 V,,,5.750,,,Ceramic,,1,,,,,1999,,,,,,,,,,,,251-300 sq ft,,,,,,,100%,,,,14.440,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadet Baseboard Heater 240-Volt 750-Watt Electric Safety Shut-Off in White,63.19,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0027418099525,Electric,White,09952,,,,Cadet,,,Baseboard Heater,Remote Control,,240 V,3F750W,Wall,,,,Steel,Timer,1,,,,,,,,,,,N/A,,0027418099525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrared Wall Hung Heating Panel Cat Electric Film Heater 230V 430W UK Plug,47.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,Does Not Apply,,,,CG HOME,,,Panel,,,230 V,Infrared Heating Panel,,,,Multicoloured,technology based on a carbon thread,Portable,,Infrared,,,,,Bathroom,,,,,,,Does not apply,,,,,,980 mm,,,,,,,,,,,Under 14 m²,570 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrared Wall Hung Heating Panel Mosaic Electric Film Heater 230V 430W UK Plug,47.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,Does Not Apply,,,,CG HOME,,,Panel,,,230 V,Infrared Heating Panel,,,,Multicoloured,technology based on a carbon thread,Portable,,Infrared,,,,,Bathroom,,,,,,,Does not apply,,,,,,980 mm,,,,,,,,,,,Under 14 m²,570 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado TH20 Whole Room Tower Space Heater 3 Heat Settings Black BRAND NEW,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,043765014936,Electric,Black,VIPRB-TH20,"20""",,See box & Description,Vornado,,See box & Description,Tower Heater,See box & Description,Forced Air/Fan,120 V,VIPRB-TH20,Floor,"5.49""",1001-1500 W,,Metal and plastic,"Auto Shut-off, Oscillation",3,,,,,,,,,,See box & Description,,,,"7.88""",See box & Description,,See box & Description,,,,,,,See box & Description,See box & Description,,,,,,,See box & Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrared Wall Hung Heating Panel WATERFALL Electric Heater 230V 430W UK Plug,47.0,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,Does Not Apply,,,,CG HOME,,,Panel,,,230 V,Infrared Heating Panel,,,,Multicoloured,technology based on a carbon thread,Portable,,Infrared,,,,,Bathroom,,,,,,,Does not apply,,,,,,980 mm,,,,,,,,,,,Under 14 m²,570 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000 BTU Portable Propane Utility Heater Stainless Steel Outdoor Garage Warmer,64.66, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,NA,Propane,Silver,NA,,,,Sunrite,,Stainless Steel,Portable Heater,Analog/Mechanical,Radiant,Not Electric,YES MHS15C,Portable,,,,,Portable,1,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,,,,,15000 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Marketing Heater Propane15-20-25K Lp LPC25,61.17,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0013204200251,Propane,Gray,LPC25,11.7 in,,,World Marketing of America,,,Convention Heater,Analog/Mechanical,Convection,,Dura Heat LPC25,"Floor, Wall",11.7 in,7327 W,,Steel,Auto Shut-off,1,,,,,,,,,,,,,0013204200251,11.7 in,,,,,,,,,,,,,,,,,,25000 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O Ring Aluminized Heating Coil Sealed Band Heater 260W 320W 360W 110V 220V 380V,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,Ring,Coil,Unbranded,,,,,,220 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Vintage Ceramic Heater Grate Bricks SEE PICTURES & READ ,65.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,Gas,,,,,,Unbranded,,,Portable Heater,,,,,Floor,,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
